scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
101356, Franklin India Savings Fund Retail Option - Quarterly - IDCW,Moderate,Debt Scheme,Money Market,Franklin India Savings Fund Retail Option
101357, Franklin India Savings Fund - Growth Option,Moderately High,Debt Scheme,Money Market,Franklin India Savings Fund
101358, Franklin India Savings Fund - Institutional Option - Growth,High,Debt Scheme,Money Market,Franklin India Savings Fund
101359, Franklin India Savings Fund - Institutional Option - Dividend,Low to Moderate,Debt Scheme,Money Market,Franklin India Savings Fund
101465, Principal Short Term Debt Fund- Growth Plan,Moderate,Debt Scheme,Short Duration,Principal Short Term Debt Fund
101466, Principal Short Term Debt Fund - Income Distribution CUM Capital Withdrawal Option - Monthly,Moderately High,Debt Scheme,Short Duration,Principal Short Term Debt Fund
101481, HDFC Floating Rate Debt Fund - Retail Growth Option,Moderate,Debt Scheme,Floater,HDFC Floating Rate Debt Fund
101482, HDFC Floating Rate Debt Fund - Retail Weekly Div Option,Low to Moderate,Debt Scheme,Floater,HDFC Floating Rate Debt Fund
101483, HDFC Floating Rate Debt Fund - Retail Daily Div Option,Moderate,Debt Scheme,Floater,HDFC Floating Rate Debt Fund
101484, HDFC Floating Rate Debt Fund - Retail Monthly Div option,Low,Debt Scheme,Floater,HDFC Floating Rate Debt Fund
101498, Principal Equity Savings Fund - Growth Option,Low to Moderate,Hybrid Scheme,Equity Savings,Principal Equity Savings Fund
101499, Principal Equity Savings Fund - Half Yearly Income Distribution CUM Capital Withdrawal,Very High,Hybrid Scheme,Equity Savings,Principal Equity Savings Fund
101500, Principal Equity Savings Fund -Quaterly Income Distribution CUM Capital Withdrawal,Moderate,Hybrid Scheme,Equity Savings,Principal Equity Savings Fund
101519, JM Short Term Fund - Regular Plan - Dividend Option,Moderate,Debt Scheme,Short Duration,JM Short Term Fund
101520, JM Short Term Fund - Regular Plan - Growth Option,Low to Moderate,Debt Scheme,Short Duration,JM Short Term Fund
101521, JM Short Term Fund - Growth Option,Very High,Debt Scheme,Short Duration,JM Short Term Fund
101524, JM Short Term Fund - Dividend Option,Moderate,Debt Scheme,Short Duration,JM Short Term Fund
101525, HDFC Index Fund-NIFTY 50 Plan - Growth Plan,Moderately High,Other Scheme,Indexs/ETFs,HDFC Index Fund
101530, SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate,Equity Scheme,Large & Mid Cap,SBI Large & Midcap Fund
101547, Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option,Low to Moderate,Debt Scheme,Short Duration,Tata Short Term Bond Fund
101548, Tata Short Term Bond Fund -Regular Plan- Growth Option,Moderate,Debt Scheme,Short Duration,Tata Short Term Bond Fund
101549, JM Liquid Fund (Regular) - Bonus Option - Principal Units,Low,Debt Scheme,Liquid,JM Liquid Fund (Regular)
101551, SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Hybrid Scheme,Aggressive Hybrid,SBI Equity Hybrid Fund
101585, HDFC Equity Savings Fund - GROWTH PLAN,Moderate,Hybrid Scheme,Equity Savings,HDFC Equity Savings Fund
101586, HDFC Equity Savings Fund - IDCW PLAN,Low to Moderate,Hybrid Scheme,Equity Savings,HDFC Equity Savings Fund
101591, Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,Moderate,Equity Scheme,Mid Cap,Aditya Birla Sun Life Midcap Fund
101592, Aditya Birla Sun Life MIDCAP Fund-Growth,Low to Moderate,Equity Scheme,Mid Cap,Aditya Birla Sun Life MIDCAP Fund
101593, HSBC Large cap Equity Fund - IDCW,Low to Moderate,Equity Scheme,Large Cap,HSBC Large cap Equity Fund
101594, HSBC Large Cap Equity Fund - Growth,Moderate,Equity Scheme,Large Cap,HSBC Large Cap Equity Fund
101599, HSBC Short Duration Fund - Growth,Low to Moderate,Debt Scheme,Short Duration,HSBC Short Duration Fund
101600, HSBC Short Duration Fund - Monthly IDCW,Very High,Debt Scheme,Short Duration,HSBC Short Duration Fund
101605, Tata Medium Term Fund- Regular Plan - Payout of IDCW option,Very High,Debt Scheme,Medium Duration,Tata Medium Term Fund
101609, TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,Low,Hybrid Scheme,Equity Savings,TATA Equity Savings Fund
101617, ICICI Prudential Savings Fund - Weekly IDCW,Moderate,Debt Scheme,Low Duration,ICICI Prudential Savings Fund
101618, ICICI Prudential Savings Fund - Daily IDCW,Moderately High,Debt Scheme,Low Duration,ICICI Prudential Savings Fund
101619, ICICI Prudential Savings Fund - Growth,High,Debt Scheme,Low Duration,ICICI Prudential Savings Fund
101642, ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly,Low to Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
101643, ICICI Prudential Long Term Bond Fund-Institutional Option-Growth,Very High,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
101656, Franklin India Dynamic Asset Allocation Fund of Funds-Growth,Moderate,Other Scheme,FoFs(Oversease/Domestic),Franklin India Dynamic Asset Allocation Fund of Funds
101657, Franklin India Dynamic Asset Allocation Fund of funds - IDCW ,Low to Moderate,Other Scheme,FoFs(Oversease/Domestic),Franklin India Dynamic Asset Allocation Fund of funds
101659, Tata Index Fund - Nifty-Regular Plan,Very High,Other Scheme,Indexs/ETFs,Tata Index Fund
101665, Nippon India Short Term Fund-Growth Plan,Moderately High,Debt Scheme,Short Duration,Nippon India Short Term Fund
101667, NIPPON INDIA SHORT TERM FUND - MONTHLY IDCW Option,Very High,Debt Scheme,Short Duration,NIPPON INDIA SHORT TERM FUND
101669, NIPPON INDIA SHORT TERM FUND - QUARTERLY IDCW OPTION,High,Debt Scheme,Short Duration,NIPPON INDIA SHORT TERM FUND
101672, Tata Equity P/E Fund - Regular Plan -Growth Option,Moderate,Equity Scheme,Value,Tata Equity P/E Fund
101685, HSBC Debt Fund - Growth,Low to Moderate,Debt Scheme,Medium to Long Duration,HSBC Debt Fund
101686, HSBC Debt Fund - Quarterly IDCW,Very High,Debt Scheme,Medium to Long Duration,HSBC Debt Fund
101691, HSBC Cash Fund - Inst. - Growth,Moderate,Others,Others,HSBC Cash Fund
101694, HSBC Cash Fund - Inst. - Dividend - Monthly,Moderately High,Others,Others,HSBC Cash Fund
101696, HSBC Cash Fund - Regular - Growth,Moderately High,Others,Others,HSBC Cash Fund
101699, HSBC Cash Fund - Growth,Very High,Others,Others,HSBC Cash Fund
101702, HSBC Cash Fund - Dividend - Monthly,Low to Moderate,Others,Others,HSBC Cash Fund
101703, Tata Medium Term Fund -Regular Plan - Growth Option,Moderate,Debt Scheme,Medium Duration,Tata Medium Term Fund
101705, ICICI Prudential Sensex ETF,Low to Moderate,Other Scheme,Indexs/ETFs,ICICI Prudential Sensex ETF
101706, ICICI Prudential Multicap Fund - IDCW,Very High,Equity Scheme,Multi Cap,ICICI Prudential Multicap Fund
101714, Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option,Moderately High,Debt Scheme,Liquid,Tata Liquid Fund
101737, Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,Low to Moderate,Equity Scheme,Dividend Yield,Aditya Birla Sun Life Dividend Yield Fund
101738, Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,Moderate,Equity Scheme,Dividend Yield,Aditya Birla Sun Life Dividend Yield Fund
101746, Tata Index Fund - Sensex-Regular Plan,Moderate,Other Scheme,Indexs/ETFs,Tata Index Fund
101748, ICICI Prudential Liquid Fund - Institutional - Daily - Div,Very High,Debt Scheme,Liquid,ICICI Prudential Liquid Fund
101750, ICICI Prudential Liquid Fund Retail Growth,Low to Moderate,Debt Scheme,Liquid,ICICI Prudential Liquid Fund Retail Growth
101751, ICICI Prudential Liquid Institutional Fund - Growth,Low to Moderate,Debt Scheme,Liquid,ICICI Prudential Liquid Institutional Fund
101752, ICICI Prudential Liquid Fund Retail Weekly Dividend,Low,Debt Scheme,Liquid,ICICI Prudential Liquid Fund Retail Weekly Dividend
101753, ICICI Prudential Liquid Fund - Institutional - Weekly - Div,High,Others,Others,ICICI Prudential Liquid Fund
101754, ICICI Prudential Liquid Fund Retail Daily Dividend,Moderately High,Debt Scheme,Liquid,ICICI Prudential Liquid Fund Retail Daily Dividend
101755, ICICI Prudential Liquid Fund Retail Monthly Dividend,Moderate,Debt Scheme,Liquid,ICICI Prudential Liquid Fund Retail Monthly Dividend
101758, ICICI Prudential Short Term Fund - Growth Option,Very High,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
101759, ICICI Prudential Short Term Fund - Reinvestment of IDCW Fortnightly,Moderate,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
101762, HDFC Flexi Cap Fund - Growth Plan,Moderately High,Others,Others,HDFC Flexi Cap Fund
101763, HDFC Flexi Cap Fund - IDCW Plan,Moderate,Others,Others,HDFC Flexi Cap Fund
101764, HDFC Capital Builder Value Fund - Growth Plan,Moderately High,Equity Scheme,Value,HDFC Capital Builder Value Fund
101765, HDFC Capital Builder Value Fund - IDCW Plan,Moderate,Equity Scheme,Value,HDFC Capital Builder Value Fund
101766, Tata Infrastructure Fund-Regular Plan- Growth Option,Low to Moderate,Others,Others,Tata Infrastructure Fund
101793, ICICI Prudential Floating Interest Fund Plan B - Growth,Moderate,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan B
101794, ICICI Prudential Floating Interest Fund Plan B - Fortnightly Dividend,High,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan B
101795, ICICI Prudential Floating Interest Fund Plan A - Growth,Moderately High,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan A
101796, ICICI Prudential Floating Interest Fund Plan A - Fortnightly Dividend,Moderate,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan A
101797, ICICI Prudential Savings Fund Plan C - Growth,Moderately High,Debt Scheme,Floater,ICICI Prudential Savings Fund Plan C
101798, ICICI Prudential Floating Interest Fund Plan C - Fortnightly Dividend,Moderate,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan C
101799, ICICI Prudential Floating Interest Fund Plan B - Dividend Daily,High,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan B
101800, ICICI Prudential Floating Interest Fund Plan A - Dividend Daily,Moderately High,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan A
101801, ICICI Prudential Floating Interest Fund Plan C - Dividend Daily,Very High,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund Plan C
101802, ICICI Prudential Floating Interest Fund - Growth,Moderate,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund
101803, ICICI Prudential Floating Interest Fund - Fortnightly IDCW,Low to Moderate,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund
101804, ICICI Prudential Floating Interest Fund - Daily IDCW,Very High,Debt Scheme,Floater,ICICI Prudential Floating Interest Fund
101805, JM Dynamic Debt Fund (Regular) - IDCW,Moderately High,Debt Scheme,Dynamic Bond,JM Dynamic Debt Fund (Regular)
101806, JM Dynamic Debt Fund (Regular) - Growth Option,Moderate,Debt Scheme,Dynamic Bond,JM Dynamic Debt Fund (Regular)
101807, JM Dynamic Debt Fund (Regular)- Premium Plan IDCW,Moderately High,Debt Scheme,Dynamic Bond,JM Dynamic Debt Fund (Regular)
101808, JM Dynamic Debt Fund - Premium Plan - Growth Option,Moderate,Debt Scheme,Dynamic Bond,JM Dynamic Debt Fund
101815, Principal Personal Tax Saver Fund,Low to Moderate,Equity Scheme,ELSS,Principal Personal Tax Saver Fund
101816, Aditya Birla Sun Life Regular Savings Fund - REGULAR - MONTHLY IDCW,Low to Moderate,Hybrid Scheme,Conservative Hybrid,Aditya Birla Sun Life Regular Savings Fund
101818, Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,Moderate,Hybrid Scheme,Conservative Hybrid,Aditya Birla Sun Life Regular Savings Fund
101823, Tata Large & Mid Cap Fund Regular Plan - Payout of IDCW Option,Very High,Equity Scheme,Large & Mid Cap,Tata Large & Mid Cap Fund Regular Plan
101824, Tata Large & Mid Cap Fund- Regular Plan - Growth Option,Moderate,Equity Scheme,Large & Mid Cap,Tata Large & Mid Cap Fund
101833, Tata Ethical Fund- Regular Plan - Payout of IDCW Option,Moderate,Others,Others,Tata Ethical Fund
101843, Aditya Birla Sun Life Short Term Fund - REGULAR - IDCW,Moderate,Debt Scheme,Short Duration,Aditya Birla Sun Life Short Term Fund
101844, Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan,Low to Moderate,Debt Scheme,Short Duration,Aditya Birla Sun Life Short Term Fund
101847, Tata Money Market Fund-Regular Plan - Growth Option,Moderately High,Debt Scheme,Money Market,Tata Money Market Fund
101852, TATA Infrastructure Fund Regular Plan - Payout of IDCW Option,Low,Others,Others,TATA Infrastructure Fund Regular Plan
101862, Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,Moderately High,Others,Others,Nippon India Banking & Financial Services Fund
101863, Nippon India Banking & Financial Services Fund-Growth Plan-Bonus Option,High,Others,Others,Nippon India Banking & Financial Services Fund
101864, Nippon India Banking & Financial Services Fund - IDCW Option,Low to Moderate,Others,Others,Nippon India Banking & Financial Services Fund
101872, HDFC Dynamic Debt Fund - Growth Option,Moderate,Debt Scheme,Dynamic Bond,HDFC Dynamic Debt Fund
101873, HDFC Dynamic Debt Fund - Quarterly IDCW Option,Very High,Debt Scheme,Dynamic Bond,HDFC Dynamic Debt Fund
101874, HDFC Dynamic Debt Fund - Half Yearly IDCW Option,Low,Debt Scheme,Dynamic Bond,HDFC Dynamic Debt Fund
101875, HDFC Dynamic Debt Fund - Yearly IDCW Option,Very High,Debt Scheme,Dynamic Bond,HDFC Dynamic Debt Fund
101906, Tata Equity Savings Fund -Regular Plan-Growth Option,Very High,Hybrid Scheme,Equity Savings,Tata Equity Savings Fund
101909, Tata Dynamic Bond Fund- Regular Plan - Growth Option,Low,Debt Scheme,Dynamic Bond,Tata Dynamic Bond Fund
101932, SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option,Moderately High,Debt Scheme,Gilt,SBI MAGNUM GILT FUND
101933, SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 2 Yrs) Option,Moderately High,Others,Others,SBI MAGNUM GILT FUND
101934, SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option,Very High,Debt Scheme,Gilt,SBI MAGNUM GILT FUND
101935, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Regular),Moderate,Debt Scheme,Gilt,SBI Magnum Gilt Fund
101945, Tata Gilt Retirement Plan- 28/2/25 Growth Option,High,Others,Others,Tata Gilt Retirement Plan
101950, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr),Moderately High,Debt Scheme,Gilt,SBI Magnum Gilt Fund
101951, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs),Low to Moderate,Debt Scheme,Gilt,SBI Magnum Gilt Fund
101952, SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),Moderate,Debt Scheme,Gilt,SBI Magnum Gilt Fund
101970, Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW,Moderate,Debt Scheme,Money Market,Aditya Birla Sun Life Money Manager Fund
101971, Aditya Birla Sun Life Money Manager Fund - Retail Growth,Low to Moderate,Debt Scheme,Money Market,Aditya Birla Sun Life Money Manager Fund
101972, Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW,Low to Moderate,Debt Scheme,Money Market,Aditya Birla Sun Life Money Manager Fund
101973, Aditya Birla Sun Life Money Manager Fund - Daily IDCW,Moderately High,Debt Scheme,Money Market,Aditya Birla Sun Life Money Manager Fund
101974, Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW,Moderate,Debt Scheme,Money Market,Aditya Birla Sun Life Money Manager Fund
101976, Aditya Birla Sun Life Money Manager Fund - Growth,Moderate,Debt Scheme,Money Market,Aditya Birla Sun Life Money Manager Fund
101979, HDFC Taxsaver - Growth Plan,Moderately High,Equity Scheme,ELSS,HDFC Taxsaver
101980, HDFC Taxsaver - IDCW Plan,Moderate,Equity Scheme,ELSS,HDFC Taxsaver
101986, Tata Money Market Fund- Regular Plan - Daily Reinvestment of IDCW Option,Very High,Debt Scheme,Money Market,Tata Money Market Fund
101989, HDFC Medium Term Debt Fund - Growth Option,Moderate,Debt Scheme,Medium Duration,HDFC Medium Term Debt Fund
101990, HDFC Medium Term Debt Fund - Fornightly IDCW Option,Moderate,Debt Scheme,Medium Duration,HDFC Medium Term Debt Fund
101993, HDFC Money Market Fund - Growth Option,Moderately High,Debt Scheme,Money Market,HDFC Money Market Fund
101994, HDFC Money Market Fund - Daily IDCW Option,Low to Moderate,Debt Scheme,Money Market,HDFC Money Market Fund
101995, HDFC Money Market Fund - Weekly IDCW Option,Very High,Debt Scheme,Money Market,HDFC Money Market Fund
101996, HDFC Overnight Fund - Growth Option,Low to Moderate,Debt Scheme,Overnight,HDFC Overnight Fund
101997, HDFC Overnight Fund - IDCW Option (Daily),Moderate,Others,Others,HDFC Overnight Fund
102000, HDFC Top 100 Fund - Growth Option - Regular Plan,Very High,Equity Scheme,Large Cap,HDFC Top 100 Fund
102001, HDFC Top 100 Fund - IDCW Option - Regular Plan,Moderate,Equity Scheme,Large Cap,HDFC Top 100 Fund
102007, UTI-  Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Option,Very High,Debt Scheme,Liquid,UTI
102008, UTI-  Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Option,Very High,Debt Scheme,Liquid,UTI
102009, UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth,Very High,Debt Scheme,Liquid,UTI
102012, UTI-  Liquid Cash Plan - Regular Plan - Growth Option,Low to Moderate,Debt Scheme,Liquid,UTI
102036, Tata Large Cap Fund- Regular Plan - Payout of IDCW Option,Low to Moderate,Equity Scheme,Large Cap,Tata Large Cap Fund
102046, Tata Gilt Retirement Plan (28/2/25) - Payout of IDCW Option,Low to Moderate,Others,Others,Tata Gilt Retirement Plan (28/2/25)
102053, SBI MAGNUM MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,Very High,Debt Scheme,Medium Duration,SBI MAGNUM MEDIUM DURATION FUND
102054, SBI Magnum Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Debt Scheme,Medium Duration,SBI Magnum Medium Duration Fund
102055, SBI Magnum Income Plus Fund - Savings Plan (G),Moderately High,Others,Others,SBI Magnum Income Plus Fund
102056, SBI Magnum Income Plus Fund - Savings Plan (D),Very High,Others,Others,SBI Magnum Income Plus Fund
102060, ICICI Prudential Gilt Fund Investment Plan PF Option - Growth,Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund Investment Plan PF Option
