scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
141141, Sundaram Long Term Micro Cap Tax Advantage Fund Series V Direct Plan - Growth,Moderately High,Equity Scheme,ELSS,Sundaram Long Term Micro Cap Tax Advantage Fund Series V Direct Plan
141142, Sundaram Long Term Micro Cap Tax Advantage Fund Series V Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),High,Equity Scheme,ELSS,Sundaram Long Term Micro Cap Tax Advantage Fund Series V Direct Plan
141143, Sundaram Select Micro Cap Series XIV Regular Plan - Growth,Moderate,Others,Others,Sundaram Select Micro Cap Series XIV Regular Plan
141144, Sundaram Select Micro Cap Series XIV Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),Moderately High,Others,Others,Sundaram Select Micro Cap Series XIV Regular Plan
141145, Sundaram Select Micro Cap Series XIV Direct Plan - Growth,High,Others,Others,Sundaram Select Micro Cap Series XIV Direct Plan
141146, Sundaram Select Micro Cap Series XIV Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW),Low to Moderate,Others,Others,Sundaram Select Micro Cap Series XIV Direct Plan
141151, Nippon India Fixed Horizon Fund XXXIII- Series 8- Growth Option,Very High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141152, Nippon India Fixed Horizon Fund XXXIII- Series 8- Dividend Payout Option,Moderately High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141153, Nippon India Fixed Horizon Fund XXXIII- Series 8- Direct Plan-Dividend Payout Option,High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141154, Nippon India Fixed Horizon Fund XXXIII- Series 8-Direct Plan- Growth Option,High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141155, Nippon India Dual Advantage Fixed Tenure Fund XI- Plan A- Growth Option,Low to Moderate,Others,Others,Nippon India Dual Advantage Fixed Tenure Fund XI
141156, Nippon India Dual Advantage Fixed Tenure Fund XI- Plan A- Direct Plan- Growth Option,Low,Others,Others,Nippon India Dual Advantage Fixed Tenure Fund XI
141157, Nippon India Dual Advantage Fixed Tenure Fund XI- Plan A- Dividend Payout Option,Moderately High,Others,Others,Nippon India Dual Advantage Fixed Tenure Fund XI
141158, Nippon India Dual Advantage Fixed Tenure Fund XI- Plan A- Direct Plan - Dividend Payout Option,Low to Moderate,Others,Others,Nippon India Dual Advantage Fixed Tenure Fund XI
141159, Edelweiss Liquid Fund - Unclaimed Dividend Plan- Above 3 years,Very High,Others,Others,Edelweiss Liquid Fund
141160, Edelweiss Liquid Fund - Unclaimed Redemption Plan- Upto 3 years,Moderate,Others,Others,Edelweiss Liquid Fund
141161, Edelweiss Liquid Fund - Unclaimed Dividend Plan- Upto 3 years,Moderate,Others,Others,Edelweiss Liquid Fund
141162, Edelweiss Liquid Fund - Unclaimed Redemption Plan- Above 3 years,Low to Moderate,Others,Others,Edelweiss Liquid Fund
141163, ICICI Prudential Fixed Maturity Plan - Series 80 - 1225 Days Plan T - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141164, ICICI Prudential Fixed Maturity Plan - Series 80 - 1225 Days Plan T - Direct Plan - Dividend Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
141165, ICICI Prudential Fixed Maturity Plan - Series 80 - 1225 Days Plan T - Dividend Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141166, ICICI Prudential Fixed Maturity Plan - Series 80 - 1225 Days Plan T - Direct Plan - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141167, UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Quarterly Div Option,High,Others,Others,UTI FTIF Series XXVI
141168, UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Maturity Div Option,Very High,Others,Others,UTI FTIF Series XXVI
141169, UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Annual Div Option,High,Others,Others,UTI FTIF Series XXVI
